2019-07-18 04:31:36,"b'RT @detikcom: Kaesang Pangarep, putra bungsu Presiden Joko Widodo mengunggah foto dirinya bersama keluarga yang berada pada kabin pesawat.\xe2\x80\xa6'"
2019-07-18 04:31:31,b'Hoax Susunan Kabinet Jokowi periode II #KabinetJokowi #Hoax #indonesia #Tolak #Ijtima #Dukung #03PersatuanIndonesia\xe2\x80\xa6 https://t.co/NUAZJPdIby'
2019-07-18 04:30:07,"b'RT @adianna70fans: Jadi yg dihajar itu yg melakukan pungli, mungkin RG tdk mendengar dengan sempurna.\nJadi mungkin RG bisa salah persepsi,\xe2\x80\xa6'"
2019-07-18 04:29:04,"b'RT @detikcom: Kaesang Pangarep, putra bungsu Presiden Joko Widodo mengunggah foto dirinya bersama keluarga yang berada pada kabin pesawat.\xe2\x80\xa6'"
2019-07-18 04:28:23,"b'RT @detikcom: Kaesang Pangarep, putra bungsu Presiden Joko Widodo mengunggah foto dirinya bersama keluarga yang berada pada kabin pesawat.\xe2\x80\xa6'"
2019-07-18 04:28:05,b'RT @AbdulKa69132353: Memfasilitasi MAD dan pembentukan TPID tahun 2019 pada program PID tahun 2019\n#BursaInovasiDesa2019 \n#Jokowi \n#EkoSand\xe2\x80\xa6'
2019-07-18 04:27:25,b'RT @adianna70fans: Gerbong Jokowi - Prabowo : Siapa Hendak Turut...\xf0\x9f\x9a\x82\xf0\x9f\x9a\x83\xf0\x9f\x9a\x83\xf0\x9f\x9a\x83\xf0\x9f\x98\x81\n___\n#matanajwa #AdianNapitupulu #trans7 #najwashihab #gerindra #PD\xe2\x80\xa6'
2019-07-18 04:26:41,"b'RT @adianna70fans: Jadi yg dihajar itu yg melakukan pungli, mungkin RG tdk mendengar dengan sempurna.\nJadi mungkin RG bisa salah persepsi,\xe2\x80\xa6'"
2019-07-18 04:25:52,b'RT @AbdulKa69132353: Mari kawan2 kita sukseskan Program Inovasi Desa (PID) 2019\n#BursaInovasiDesa2019 \n#Jokowi \n#EkoSandjojo \n#anwsanusi \n#\xe2\x80\xa6'
2019-07-18 04:25:52,"b'Lembaga Negara yang tidak bermanfaat bisa dihapuskan, kita dukung Jokowi #indonesia #Berita #Politik\xe2\x80\xa6 https://t.co/q9yCACUYJ1'"
2019-07-18 04:25:16,"b'RT @detikcom: Kaesang Pangarep, putra bungsu Presiden Joko Widodo mengunggah foto dirinya bersama keluarga yang berada pada kabin pesawat.\xe2\x80\xa6'"
2019-07-18 04:24:44,"b'RT @detikcom: Kaesang Pangarep, putra bungsu Presiden Joko Widodo mengunggah foto dirinya bersama keluarga yang berada pada kabin pesawat.\xe2\x80\xa6'"
2019-07-18 04:24:37,b'RT @AbdulKa69132353: Memfasilitasi TPID dalam penyusunan RKTL Program Inovasi Desa (PID)\n#BursaInovasiDesa2019 \n#Jokowi \n#EkoSandjojo \n#anw\xe2\x80\xa6'
2019-07-18 04:24:32,b'RT @AbdulKa69132353: Dengan adanya Program Inovasi Desa (PID) dapat meningkatkan pembangunan desa yang berinovasi\n#BursaInovasiDesa2019 \n#J\xe2\x80\xa6'
2019-07-18 04:24:14,b'Dengan adanya Program Inovasi Desa (PID) dapat meningkatkan pembangunan desa yang berinovasi\n#BursaInovasiDesa2019\xe2\x80\xa6 https://t.co/PnRzLCHeFN'
2019-07-18 04:23:48,"b'Kaesang Pangarep, putra bungsu Presiden Joko Widodo mengunggah foto dirinya bersama keluarga yang berada pada kabin\xe2\x80\xa6 https://t.co/7hrC7x9Cdv'"
2019-07-18 04:22:43,b'Memfasilitasi TPID dalam penyusunan RKTL Program Inovasi Desa (PID)\n#BursaInovasiDesa2019 \n#Jokowi \n#EkoSandjojo\xe2\x80\xa6 https://t.co/Kql4kFBbg6'
2019-07-18 04:20:40,b'RT @ahmadas75418589: #BursaInovasiDesa2019 \ninovasi tiada henti \n#Jokowi\n#Eko Putro sanjoyo\n#Anwar Sanusi\n#Taufik madjid\n#Fachri labalado\n#\xe2\x80\xa6'
2019-07-18 04:20:27,"b'RT @adianna70fans: Jadi yg dihajar itu yg melakukan pungli, mungkin RG tdk mendengar dengan sempurna.\nJadi mungkin RG bisa salah persepsi,\xe2\x80\xa6'"
2019-07-18 04:20:00,b'#BursaInovasiDesa2019\nRapat koordinasi bersama PID dalam rangka Pelaksanaan Bursa Innovasi Desa yang akan dilaksana\xe2\x80\xa6 https://t.co/7Aokmk9a9V'
2019-07-18 04:19:06,b'RT @AbdulKa69132353: Memfasilitasi MAD dan pembentukan TPID tahun 2019 pada program PID tahun 2019\n#BursaInovasiDesa2019 \n#Jokowi \n#EkoSand\xe2\x80\xa6'
